Unintentional,Intentional,Ambiguous,Comprehension question,MCQ Answer,MCQ Option 2,MCQ Option 3,Actor,Gender,Authors,Year,doi
"Sofia is cooking dinner for a family gathering. She has been perfecting a curry recipe. Sofia does not know her cousin attending the dinner has a peanut allergy. Sofia adds peanuts to every plate and serves. Her cousin takes a large mouthful. Within a few minutes, her cousin has an allergic reaction and the family rush for her epipen.","Sofia is cooking dinner for a family gathering. She has been perfecting a curry recipe. Sofia knows her cousin attending the dinner has a peanut allergy. Sofia adds peanuts to every plate and serves. Her cousin takes a large mouthful. Within a few minutes, her cousin has an allergic reaction and the family rush for her epipen.","Sofia is cooking dinner for a family gathering. She has been perfecting a curry recipe. Sofia lays the table and passes out drinks to everyone. Sofia adds peanuts to every plate and serves. Her cousin takes a large mouthful. Within a few minutes, her cousin has an allergic reaction and the family rush for her epipen.",What is Sofia's cousin allergic to?,Peanuts,Medicine,Cashews,Sofia,F,"Koster-Hale, Saxe, Dungan & Young",2013,https://doi.org/10.1073/pnas.1207992113
"Matthew is taking an advanced English class. To prepare for their assignment, the teacher passes out a sample essay for class discussion. Matthew does not know that a student in the class wrote the essay. Matthew says in front of the class that the essay must have been written by a third-grader. The student who wrote the essay leaves the room.","Matthew is taking an advanced English class. To prepare for their assignment, the teacher passes out a sample essay for class discussion. Matthew knows that a student in the class wrote the essay. Matthew says in front of the class that the essay must have been written by a third-grader. The student who wrote the essay leaves the room.","Matthew is taking an advanced English class. To prepare for their assignment, the teacher passes out a sample essay for class discussion. Matthew puts his notepad and pen out on the desk. Matthew says in front of the class that the essay must have been written by a third-grader. The student who wrote the essay leaves the room.",What is Matthew's class reading?,A sample essay,A textbook,A novel,Matthew,M,"Koster-Hale, Saxe, Dungan & Young",2013,https://doi.org/10.1073/pnas.1207992111
"Eleanor is swimming at a communal pool. A young girl is preparing to dive in. Eleanor believes that the girl is being supervised by her parents. Eleanor swims past, without saying anything to the girl. The girl hits her head at the shallow end of the pool and starts screaming. ","Eleanor is swimming at a communal pool. A young girl is preparing to dive in. Eleanor believes the child is not being supervised by her parents. Eleanor swims past, without saying anything to the girl. The girl hits her head at the shallow end of the pool and starts screaming.","Eleanor is swimming at the public pool. A young girl is preparing to dive in. Eleanor swims to collect her towel and toiletries, by the side of the pool. Eleanor swims past, without saying anything to the girl. The girl hits her head at the shallow end of the pool and starts screaming.",Where does the young girl hit her head?,At the shallow end,On the waterslide,On the diving board,Eleanor,F,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Emma works as a medical doctor. Today she has a routine examination and typically, she wears latex gloves. Emma reads this patient's records and believes they are not allergic to latex. Emma puts on latex gloves and examines her patient. Before long, the patient has a severe allergic reaction to Emma's gloves.","Emma works as a medical doctor. Today she has a routine examination and typically, she wears latex gloves. Emma reads the patient's records and believes they are allergic to latex. Emma puts on latex gloves and examines her patient. Before long, the patient has a severe allergic reaction to Emma's gloves.","Emma works as a medical doctor. Today she has a routine examination and typically, she wears latex gloves. She asks the patient to roll their sleeves up, to see their arm. Emma puts on latex gloves and examines her patient. Before long, the patient has a severe allergic reaction to Emma's gloves.",What are Emma's gloves made of?,Latex,Cotton,Leather,Emma,F,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"William is driving his motorboat in the bay, after a trip to a secluded beach. He spots a swimmer in the far distance. He believes the swimmer is waving an enthusiastic ""hello"". William drives past, leaving the swimmer behind. No one else sees the swimmer's cry for help and the swimmer drowns.","William is driving his motorboat in the bay, after a trip to a secluded beach. He spots a swimmer in the far distance. He believes that the swimmer is desperate for help. William drives past, leaving the swimmer behind. No one else sees the swimmer's cry for help and the swimmer drowns.","William is driving his motorboat in the bay, after a trip to a secluded beach. He spots a swimmer in the far distance. William adjusts his hands on his the steering wheel. William drives past, leaving the swimmer behind. No one else sees the swimmer's cry for help and the swimmer drowns.",What is William driving?,Motorboat,Car,Motor Bicycle,William,M,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Abigail is at a bar, drinking alcoholic cocktails. At the end of the night, Abigail believes she has sobered up. Abigail decides to leave and gives her friend a lift home. On the road, Abigail is out of control and has to brake suddenly. Her friend hits her head on the dashboard.","Abigail is at a bar, drinking alcoholic cocktails. At the end of the night, Abigail believes she has not sobered up. Abigail decides to leave and gives her friend a lift home. On the road, Abigail is out of control and has to brake suddenly. Her friend hits her head on the dashboard.","Abigail is at a bar, drinking alcoholic cocktails. At the end of the night, Abigail makes a stop at the bathroom. Abigail decides to leave and gives her friend a lift home. On the road, Abigail is out of control and has to brake suddenly and her friend hits her head on the dashboard.",What does Abigail's friend injure?,Head,Ankle,Knees,Abigail,F,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Sebastian is a chef at a sushi bar. Recently, Sebastian has changed his tuna fish supplier to save money. He does not know the new supplier's fish is always out-of-date. That week, he serves this new supply of tuna fish to his customers. Many customers who order tuna leave the restaurant with severe food poisoning.","Sebastian is a chef at a sushi bar. Recently, Sebastian has changed his tuna fish supplier to save money. He knows that the new supplier's fish is always out-of-date. That week, he serves this new supply of tuna fish to his customers. Many customers who order tuna leave the restaurant with severe food poisoning.","Sebastian is a chef at a sushi bar. Recently, Sebastian has changed his tuna fish supplier to save money. He makes a list of the other fish that he will need to purchase. That week, he serves this new supply of tuna fish to his customers. Many customers who order tuna leave the restaurant with severe food poisoning.",What gives Sebastian's customers food poisioning?,Tuna fish,Curry,Sushi rice,Sebastian,M,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
Lucas and his brother are camping in the woods. There are wild mushrooms growing and Lucas studies them by consulting his plant life guide. Lucas believes these mushrooms match the edible mushrooms in his guide. Lucas gives the mushrooms to his brother. Lucas' brother eats them and 10 minutes later he starts convulsing.,Lucas and his brother are camping in the woods. There are wild mushrooms growing and Lucas studies them by consulting his plant life guide. He believes these mushrooms match the poisonous mushrooms in his guide. Lucas gives the mushrooms to his brother. Lucas' brother eats them and 10 minutes later he starts convulsing.,"Lucas and his brother are camping in the woods. There are wild mushrooms growing and Lucas studies them by consulting his plant life guide. He puts his raincoat on, as it looks like it may be starting to rain. Lucas gives the mushrooms to his brother. Lucas' brother eats them and 10 minutes later he starts convulsing. ",What does Lucas' offer to his brother?,Mushrooms,Berries,Leaves,Lucas,M,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Elizabeth is at the airport. She notices a woman running through the terminal. The floor has just been mopped, and there is a “Wet Floor” sign. Elizabeth believes that the woman has seen this sign. Elizabeth does not warn her of the wet floor. The woman falls over and misses her flight waiting for medics to arrive.","Elizabeth is at the airport. She notices a woman running through the terminal. The floor has just been mopped, and there is a “Wet Floor” sign. Elizabeth believes that the woman has not seen this sign. Elizabeth does not warn her of the wet floor. The woman falls over and misses her flight waiting for medics to arrive.","Elizabeth is at the airport. She notices a woman running through the terminal. The floor has just been mopped, and there is a “Wet Floor” sign. Elizabeth visits the vending machine for a drink. Elizabeth does not warn her of the wet floor. The woman falls over and misses her flight waiting for medics to arrive.",Where is Elizabeth?,Airport terminal,Train station,Bus stop,Elizabeth,F,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Daniel is showing a visitor around his chemistry laboratory. Before anyone enters the laboratory, it needs to be checked for toxic gas. Daniel believes the laboratory is safe. He tells the visitor to enter. The visitor soon starts gasping for air and collapses.","Daniel is showing a visitor around his chemistry laboratory. Before anyone enters the laboratory, it needs to be checked for toxic gas. Daniel believes the laboratory is not safe. He tells the visitor to enter. The visitor soon starts gasping for air and collapses.","Daniel is showing a visitor around his chemistry laboratory. Before anyone enters the laboratory, it needs to be checked for toxic gas. Daniel opens the door and turns the lights on. He tells the visitor to enter. The visitor soon starts gasping for air and collapses.",What is the laboratory contaminated with?,Toxic gas ,Infectious diseases,Cleaning products,Daniel,F,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
